,rt,stimulus,key_press,ListLength,Trial_index,Phase,correct,ExperimentalPhase,Block,word1,word2,save,date,subject_id,trial_type,trial_index,time_elapsed,internal_node_id,response,cue,target,SequenceLength,sequence,letterSeen,queriedPosition,Stimulus_type,TrialType,timeMs,timeMin,score,correct_01,validTrials,validID,W2VWordPairsSim,SimBins
28,,,,30.0,10.0,LearningResponse,TRUE,True,1.0,coyote,cobra,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,78,158999,0.0-78.0,cobre,coyote,cobra,,,,,,,,,,1.0,False,False,0.5795780256398243,3
29,,,,30.0,10.0,LearningResponse,FALSE,True,1.0,coyote,cobra,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,81,165320,0.0-81.0,cayote,cobra,coyote,,,,,,,,,,0.0,False,False,0.5795780256398243,3
31,,,,30.0,11.0,LearningResponse,TRUE,True,1.0,cactus,moose,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,86,175069,0.0-86.0,moose,cactus,moose,,,,,,,,,,1.0,False,False,0.34621602100896204,2
32,,,,30.0,11.0,LearningResponse,FALSE,True,1.0,cactus,moose,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,89,181145,0.0-89.0,catus,moose,cactus,,,,,,,,,,0.0,False,False,0.34621602100896204,2
34,,,,30.0,12.0,LearningResponse,TRUE,True,1.0,chip,tablet,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,94,192729,0.0-94.0,tablet,chip,tablet,,,,,,,,,,1.0,False,False,0.42313580545871754,3
35,,,,30.0,12.0,LearningResponse,TRUE,True,1.0,chip,tablet,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,97,198005,0.0-97.0,chip,tablet,chip,,,,,,,,,,1.0,False,False,0.42313580545871754,3
37,,,,30.0,13.0,LearningResponse,TRUE,True,1.0,chick,girl,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,102,207812,0.0-102.0,girl,chick,girl,,,,,,,,,,1.0,False,False,0.6247244966234788,4
38,,,,30.0,13.0,LearningResponse,TRUE,True,1.0,chick,girl,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,105,214937,0.0-105.0,chick,girl,chick,,,,,,,,,,1.0,False,False,0.6247244966234788,4
40,,,,30.0,14.0,LearningResponse,TRUE,True,1.0,tank,bumper,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,110,227956,0.0-110.0,bumb,tank,bumper,,,,,,,,,,1.0,False,False,0.33731408101689114,2
41,,,,30.0,14.0,LearningResponse,TRUE,True,1.0,tank,bumper,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,113,232747,0.0-113.0,tank,bumper,tank,,,,,,,,,,1.0,False,False,0.33731408101689114,2
43,,,,30.0,15.0,LearningResponse,TRUE,True,1.0,buckle,zipper,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,118,244066,0.0-118.0,zipper,buckle,zipper,,,,,,,,,,1.0,False,False,0.9488969555838095,5
44,,,,30.0,15.0,LearningResponse,TRUE,True,1.0,buckle,zipper,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,121,250218,0.0-121.0,buckle,zipper,buckle,,,,,,,,,,1.0,False,False,0.9488969555838095,5
46,,,,30.0,16.0,LearningResponse,TRUE,True,1.0,ramp,noose,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,126,260115,0.0-126.0,noose,ramp,noose,,,,,,,,,,1.0,False,False,0.32292999589692944,2
47,,,,30.0,16.0,LearningResponse,TRUE,True,1.0,ramp,noose,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,129,265657,0.0-129.0,ramp,noose,ramp,,,,,,,,,,1.0,False,False,0.32292999589692944,2
49,,,,30.0,17.0,LearningResponse,TRUE,True,1.0,rosary,altar,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,134,275361,0.0-134.0,alter,rosary,altar,,,,,,,,,,1.0,False,False,0.4618963390922412,3
50,,,,30.0,17.0,LearningResponse,TRUE,True,1.0,rosary,altar,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,137,280848,0.0-137.0,rosary,altar,rosary,,,,,,,,,,1.0,False,False,0.4618963390922412,3
52,,,,30.0,18.0,LearningResponse,TRUE,True,1.0,berry,pear,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,142,290699,0.0-142.0,pear,berry,pear,,,,,,,,,,1.0,False,False,0.8311557898711097,5
53,,,,30.0,18.0,LearningResponse,TRUE,True,1.0,berry,pear,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,145,296110,0.0-145.0,berry,pear,berry,,,,,,,,,,1.0,False,False,0.8311557898711097,5
55,,,,30.0,19.0,LearningResponse,TRUE,True,1.0,daisy,riser,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,150,305979,0.0-150.0,riser,daisy,riser,,,,,,,,,,1.0,False,False,0.21070634176822417,2
56,,,,30.0,19.0,LearningResponse,TRUE,True,1.0,daisy,riser,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,153,311110,0.0-153.0,daisy,riser,daisy,,,,,,,,,,1.0,False,False,0.21070634176822417,2
58,,,,30.0,20.0,LearningResponse,TRUE,True,1.0,kayak,block,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,158,320851,0.0-158.0,block,kayak,block,,,,,,,,,,1.0,False,False,0.23403621618525616,2
59,,,,30.0,20.0,LearningResponse,TRUE,True,1.0,kayak,block,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,161,326214,0.0-161.0,kayak,block,kayak,,,,,,,,,,1.0,False,False,0.23403621618525616,2
61,,,,30.0,21.0,LearningResponse,TRUE,True,1.0,orange,amber,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,166,336041,0.0-166.0,amber,orange,amber,,,,,,,,,,1.0,False,False,0.9999999638598666,5
62,,,,30.0,21.0,LearningResponse,TRUE,True,1.0,orange,amber,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,169,341680,0.0-169.0,orange,amber,orange,,,,,,,,,,1.0,False,False,0.9999999638598666,5
64,,,,30.0,22.0,LearningResponse,TRUE,True,1.0,fungus,moth,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,174,351035,0.0-174.0,moth,fungus,moth,,,,,,,,,,1.0,False,False,0.42118623274423467,3
65,,,,30.0,22.0,LearningResponse,TRUE,True,1.0,fungus,moth,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,177,355681,0.0-177.0,fungus,moth,fungus,,,,,,,,,,1.0,False,False,0.42118623274423467,3
67,,,,30.0,23.0,LearningResponse,TRUE,True,1.0,sandal,insole,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,182,365444,0.0-182.0,insole,sandal,insole,,,,,,,,,,1.0,False,False,0.8545205323394657,5
68,,,,30.0,23.0,LearningResponse,TRUE,True,1.0,sandal,insole,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,185,370306,0.0-185.0,sandle,insole,sandal,,,,,,,,,,1.0,False,False,0.8545205323394657,5
70,,,,30.0,24.0,LearningResponse,TRUE,True,1.0,earwig,walnut,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,190,380483,0.0-190.0,walnut,earwig,walnut,,,,,,,,,,1.0,False,False,0.24217337756216092,2
71,,,,30.0,24.0,LearningResponse,TRUE,True,1.0,earwig,walnut,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,193,386486,0.0-193.0,earwig,walnut,earwig,,,,,,,,,,1.0,False,False,0.24217337756216092,2
73,,,,30.0,25.0,LearningResponse,TRUE,True,1.0,knee,wrist,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,198,397781,0.0-198.0,wrist,knee,wrist,,,,,,,,,,1.0,False,False,0.6693561718401636,4
74,,,,30.0,25.0,LearningResponse,TRUE,True,1.0,knee,wrist,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,201,402568,0.0-201.0,knee,wrist,knee,,,,,,,,,,1.0,False,False,0.6693561718401636,4
76,,,,30.0,26.0,LearningResponse,TRUE,True,1.0,knife,sheath,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,206,412580,0.0-206.0,sheath,knife,sheath,,,,,,,,,,1.0,False,False,0.7353757766519807,4
77,,,,30.0,26.0,LearningResponse,TRUE,True,1.0,knife,sheath,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,209,418396,0.0-209.0,knife,sheath,knife,,,,,,,,,,1.0,False,False,0.7353757766519807,4
79,,,,30.0,27.0,LearningResponse,TRUE,True,1.0,suit,sheet,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,214,428047,0.0-214.0,sheet,suit,sheet,,,,,,,,,,1.0,False,False,0.1534113809576238,1
80,,,,30.0,27.0,LearningResponse,TRUE,True,1.0,suit,sheet,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,217,432273,0.0-217.0,suit,sheet,suit,,,,,,,,,,1.0,False,False,0.1534113809576238,1
82,,,,30.0,28.0,LearningResponse,TRUE,True,1.0,beard,puck,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,222,443589,0.0-222.0,puck,beard,puck,,,,,,,,,,1.0,False,False,0.15867453185593056,1
83,,,,30.0,28.0,LearningResponse,TRUE,True,1.0,beard,puck,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,225,448961,0.0-225.0,beard,puck,beard,,,,,,,,,,1.0,False,False,0.15867453185593056,1
85,,,,30.0,29.0,LearningResponse,TRUE,True,1.0,teabag,coffee,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,230,459171,0.0-230.0,coffee,teabag,coffee,,,,,,,,,,1.0,False,False,0.8065881665830336,5
86,,,,30.0,29.0,LearningResponse,TRUE,True,1.0,teabag,coffee,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,233,464673,0.0-233.0,teabag,coffee,teabag,,,,,,,,,,1.0,False,False,0.8065881665830336,5
88,,,,30.0,30.0,LearningResponse,TRUE,True,1.0,chili,clove,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,238,474490,0.0-238.0,clove,chili,clove,,,,,,,,,,1.0,False,False,0.7131320706496668,4
89,,,,30.0,30.0,LearningResponse,TRUE,True,1.0,chili,clove,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,241,480340,0.0-241.0,chilli,clove,chili,,,,,,,,,,1.0,False,False,0.7131320706496668,4
150,4226.39999985695,<h1>sheath</h1><br><br><br> Please press space as soon as you recall the target.,32.0,30.0,1.0,CuePresentation,FALSE,True,1.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,329,643698,0.0-329.0,,sheath,knife,,,,5.0,,,,,,0.0,True,False,0.7353757766519807,4
151,,,,30.0,1.0,RecallResponse,FALSE,True,1.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,330,645586,0.0-330.0,0,sheath,knife,,,,5.0,,,,,,0.0,True,False,0.7353757766519807,4
152,10179.5999999046,<h1>earwig</h1><br><br><br> Please press space as soon as you recall the target.,32.0,30.0,2.0,CuePresentation,FALSE,True,1.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,333,657779,0.0-333.0,,earwig,walnut,,,,7.0,,,,,,0.0,True,False,0.24217337756216092,2
153,,,,30.0,2.0,RecallResponse,FALSE,True,1.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,334,659495,0.0-334.0,0,earwig,walnut,,,,7.0,,,,,,0.0,True,False,0.24217337756216092,2
154,12688.5999999046,<h1>lamp</h1><br><br><br> Please press space as soon as you recall the target.,32.0,30.0,3.0,CuePresentation,FALSE,True,1.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,337,674193,0.0-337.0,,lamp,candle,,,,22.0,,,,,,0.0,False,False,0.6987496633198526,4
155,,,,30.0,3.0,RecallResponse,FALSE,True,1.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,338,675798,0.0-338.0,head,lamp,candle,,,,22.0,,,,,,0.0,False,False,0.6987496633198526,4
156,4736.5,<h1>sheet</h1><br><br><br> Please press space as soon as you recall the target.,32.0,30.0,4.0,CuePresentation,FALSE,True,1.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,341,682545,0.0-341.0,,sheet,suit,,,,4.0,,,,,,0.0,True,False,0.1534113809576238,1
157,,,,30.0,4.0,RecallResponse,FALSE,True,1.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,342,684217,0.0-342.0,0,sheet,suit,,,,4.0,,,,,,0.0,True,False,0.1534113809576238,1
158,8928.70000004768,<h1>bumper</h1><br><br><br> Please press space as soon as you recall the target.,32.0,30.0,5.0,CuePresentation,FALSE,True,1.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,345,695160,0.0-345.0,,bumper,tank,,,,17.0,,,,,,0.0,False,False,0.33731408101689114,2
159,,,,30.0,5.0,RecallResponse,FALSE,True,1.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,346,696986,0.0-346.0,car,bumper,tank,,,,17.0,,,,,,0.0,False,False,0.33731408101689114,2
160,11717.4000000954,<h1>moth</h1><br><br><br> Please press space as soon as you recall the target.,32.0,30.0,6.0,CuePresentation,FALSE,True,1.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,349,710716,0.0-349.0,,moth,fungus,,,,9.0,,,,,,0.0,True,False,0.42118623274423467,3
161,,,,30.0,6.0,RecallResponse,FALSE,True,1.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,350,711558,0.0-350.0,0,moth,fungus,,,,9.0,,,,,,0.0,True,False,0.42118623274423467,3
162,10255.3000001907,<h1>girl</h1><br><br><br> Please press space as soon as you recall the target.,32.0,30.0,7.0,CuePresentation,FALSE,True,1.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,353,723826,0.0-353.0,,girl,chick,,,,18.0,,,,,,0.0,False,False,0.6247244966234788,4
163,,,,30.0,7.0,RecallResponse,FALSE,True,1.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,354,724760,0.0-354.0,0,girl,chick,,,,18.0,,,,,,0.0,False,False,0.6247244966234788,4
164,6208.89999985695,<h1>tape</h1><br><br><br> Please press space as soon as you recall the target.,32.0,30.0,8.0,CuePresentation,FALSE,True,1.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,357,732984,0.0-357.0,,tape,wire,,,,27.0,,,,,,0.0,False,False,0.5010969904798186,3
165,,,,30.0,8.0,RecallResponse,FALSE,True,1.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,358,735468,0.0-358.0,earwig,tape,wire,,,,27.0,,,,,,0.0,False,False,0.5010969904798186,3
166,8186.20000004768,<h1>teabag</h1><br><br><br> Please press space as soon as you recall the target.,32.0,30.0,9.0,CuePresentation,FALSE,True,1.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,361,745676,0.0-361.0,,teabag,coffee,,,,2.0,,,,,,0.0,True,False,0.8065881665830336,5
167,,,,30.0,9.0,RecallResponse,FALSE,True,1.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,362,746649,0.0-362.0,0,teabag,coffee,,,,2.0,,,,,,0.0,True,False,0.8065881665830336,5
168,2250.0,<h1>knee</h1><br><br><br> Please press space as soon as you recall the target.,32.0,30.0,10.0,CuePresentation,TRUE,True,1.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,365,750911,0.0-365.0,,knee,wrist,,,,6.0,,,,,,1.0,False,False,0.6693561718401636,4
169,,,,30.0,10.0,RecallResponse,TRUE,True,1.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,366,752611,0.0-366.0,wrist,knee,wrist,,,,6.0,,,,,,1.0,False,False,0.6693561718401636,4
171,,,,10.0,1.0,LearningResponse,TRUE,True,2.0,rope,skunk,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,374,774833,0.0-374.0,skunk,rope,skunk,,,,,,,,,,1.0,False,False,0.3233968539221659,2
172,,,,10.0,1.0,LearningResponse,TRUE,True,2.0,rope,skunk,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,377,780247,0.0-377.0,rope,skunk,rope,,,,,,,,,,1.0,False,False,0.3233968539221659,2
174,,,,10.0,2.0,LearningResponse,TRUE,True,2.0,flower,orchid,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,382,791398,0.0-382.0,orchid,flower,orchid,,,,,,,,,,1.0,False,False,1.000000075895696,5
175,,,,10.0,2.0,LearningResponse,TRUE,True,2.0,flower,orchid,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,385,797264,0.0-385.0,flower,orchid,flower,,,,,,,,,,1.0,False,False,1.000000075895696,5
177,,,,10.0,3.0,LearningResponse,TRUE,True,2.0,parrot,turtle,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,390,808312,0.0-390.0,turtle,parrot,turtle,,,,,,,,,,1.0,False,False,0.6520642147741101,4
178,,,,10.0,3.0,LearningResponse,TRUE,True,2.0,parrot,turtle,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,393,815156,0.0-393.0,parrot,turtle,parrot,,,,,,,,,,1.0,False,False,0.6520642147741101,4
180,,,,10.0,4.0,LearningResponse,TRUE,True,2.0,tomato,dough,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,398,824604,0.0-398.0,dough,tomato,dough,,,,,,,,,,1.0,False,False,0.4452835583694612,3
181,,,,10.0,4.0,LearningResponse,TRUE,True,2.0,tomato,dough,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,401,830970,0.0-401.0,tomato,dough,tomato,,,,,,,,,,1.0,False,False,0.4452835583694612,3
183,,,,10.0,5.0,LearningResponse,TRUE,True,2.0,anklet,thumb,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,406,840913,0.0-406.0,thumb,anklet,thumb,,,,,,,,,,1.0,False,False,0.47748479244258013,3
184,,,,10.0,5.0,LearningResponse,TRUE,True,2.0,anklet,thumb,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,409,846750,0.0-409.0,anklet,thumb,anklet,,,,,,,,,,1.0,False,False,0.47748479244258013,3
186,,,,10.0,6.0,LearningResponse,TRUE,True,2.0,puddle,sand,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,414,856723,0.0-414.0,sand,puddle,sand,,,,,,,,,,1.0,False,False,0.6764054315773257,4
187,,,,10.0,6.0,LearningResponse,TRUE,True,2.0,puddle,sand,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,417,863682,0.0-417.0,puddle,sand,puddle,,,,,,,,,,1.0,False,False,0.6764054315773257,4
189,,,,10.0,7.0,LearningResponse,TRUE,True,2.0,eraser,mirror,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,422,874206,0.0-422.0,mirror,eraser,mirror,,,,,,,,,,1.0,False,False,0.24006374430081112,2
190,,,,10.0,7.0,LearningResponse,TRUE,True,2.0,eraser,mirror,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,425,882219,0.0-425.0,erase,mirror,eraser,,,,,,,,,,1.0,False,False,0.24006374430081112,2
192,,,,10.0,8.0,LearningResponse,TRUE,True,2.0,prune,thorn,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,430,892618,0.0-430.0,thorn,prune,thorn,,,,,,,,,,1.0,False,False,0.9999999789363323,5
193,,,,10.0,8.0,LearningResponse,TRUE,True,2.0,prune,thorn,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,433,899010,0.0-433.0,prune,thorn,prune,,,,,,,,,,1.0,False,False,0.9999999789363323,5
195,,,,10.0,9.0,LearningResponse,TRUE,True,2.0,leash,drink,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,438,909353,0.0-438.0,drink,leash,drink,,,,,,,,,,1.0,False,False,0.10846355647514298,1
196,,,,10.0,9.0,LearningResponse,TRUE,True,2.0,leash,drink,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,441,914346,0.0-441.0,lease,drink,leash,,,,,,,,,,1.0,False,False,0.10846355647514298,1
198,,,,10.0,10.0,LearningResponse,TRUE,True,2.0,binder,weed,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,446,923884,0.0-446.0,weed,binder,weed,,,,,,,,,,1.0,False,False,0.1938189302596289,1
199,,,,10.0,10.0,LearningResponse,TRUE,True,2.0,binder,weed,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,449,929223,0.0-449.0,binder,weed,binder,,,,,,,,,,1.0,False,False,0.1938189302596289,1
260,3266.29999995232,<h1>parrot</h1><br><br><br> Please press space as soon as you recall the target.,32.0,10.0,1.0,CuePresentation,TRUE,True,2.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,537,1073987,0.0-537.0,,parrot,turtle,,,,8.0,,,,,,1.0,False,False,0.6520642147741101,4
261,,,,10.0,1.0,RecallResponse,TRUE,True,2.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,538,1078612,0.0-538.0,turtle,parrot,turtle,,,,8.0,,,,,,1.0,False,False,0.6520642147741101,4
262,2069.79999995232,<h1>thumb</h1><br><br><br> Please press space as soon as you recall the target.,32.0,10.0,2.0,CuePresentation,TRUE,True,2.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,541,1082692,0.0-541.0,,thumb,anklet,,,,6.0,,,,,,1.0,False,False,0.47748479244258013,3
263,,,,10.0,2.0,RecallResponse,TRUE,True,2.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,542,1084134,0.0-542.0,anklet,thumb,anklet,,,,6.0,,,,,,1.0,False,False,0.47748479244258013,3
264,2798.79999995232,<h1>prune</h1><br><br><br> Please press space as soon as you recall the target.,32.0,10.0,3.0,CuePresentation,TRUE,True,2.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,545,1088947,0.0-545.0,,prune,thorn,,,,3.0,,,,,,1.0,False,False,0.9999999789363323,5
265,,,,10.0,3.0,RecallResponse,TRUE,True,2.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,546,1090542,0.0-546.0,thorn,prune,thorn,,,,3.0,,,,,,1.0,False,False,0.9999999789363323,5
266,2188.09999990463,<h1>eraser</h1><br><br><br> Please press space as soon as you recall the target.,32.0,10.0,4.0,CuePresentation,TRUE,True,2.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,html-keyboard-response,549,1094741,0.0-549.0,,eraser,mirror,,,,4.0,,,,,,1.0,True,False,0.24006374430081112,2
267,,,,10.0,4.0,RecallResponse,TRUE,True,2.0,,,True,29_8_2023_11_35_35,0assan0nym4bqrq,typed-response,550,1098012,0.0-550.0,mirror,eraser,mirror,,,,4.0,,,,,,1.0,True,False,0.24006374430081112,2
