arm,sweep,model,repeat_index,task,signature,test,weight,threshold_p,n,block_len,theta,null,boot_p,direction_correct
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,marbles_risk,magnitude_effect_high_payoff,correlation_test,1.0,0.05,64,4,0.3270014063001603,0.0,0.001999000499750125,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,marbles_risk,ev_difference_rt_effect,correlation_test,1.0,0.05,64,4,0.030459115533475176,0.0,0.655672163918041,False
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,moral_machine,utilitarian_preference,proportion_test,1.5,0.05,10,2,1.0,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,moral_machine,age_preference_save_young,proportion_test,1.0,0.05,10,2,1.0,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,moral_machine,species_preference_save_human,proportion_test,1.5,0.05,10,2,1.0,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,moral_machine,legality_preference_save_lawful,proportion_test,1.0,0.05,6,2,1.0,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,phishing_detection_v2,above_chance_discrimination,paired_proportion_test,2.0,0.05,60,4,0.5666666666666667,0.0,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,phishing_detection_v2,learning_effect,paired_proportion_test,1.5,0.05,20,3,0.0,0.0,0.7005535983895319,False
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,phishing_detection_v2,above_chance_overall,proportion_test,1.0,0.05,60,4,0.7833333333333333,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,phishing_detection_v2,practice_rt_speedup,correlation_test,1.0,0.05,60,4,-0.3055088787677619,0.0,0.02798600699650175,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,random_dot_motion_v2,coherence_accuracy_psychometric,correlation_test,2.0,0.05,100,5,0.24561729408707764,0.0,0.0014992503748125937,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,random_dot_motion_v2,coherence_rt_chronometric,correlation_test,1.5,0.05,71,4,0.17127873673621835,0.0,0.9415292353823088,False
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,random_dot_motion_v2,above_chance_low_coherence,proportion_test,0.5,0.05,40,3,0.575,0.5,0.12543728135932034,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,random_dot_motion_v2,above_chance_overall,proportion_test,1.0,0.05,100,5,0.71,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,repeated_games,above_chance_coordination_bos,proportion_test,1.5,0.05,15,2,0.06666666666666667,0.5,1.0,False
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,repeated_games,cooperation_when_opp_cooperated,proportion_test,1.0,0.05,14,2,1.0,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,repeated_games,round_rt_speedup,correlation_test,1.0,0.05,30,3,-0.42250755387848327,0.0,0.020989505247376312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,serial_recall_v2,above_chance_recall,proportion_test,1.5,0.05,16,3,1.0,0.05,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,serial_recall_v2,high_vs_low_sim_advantage,paired_proportion_test,1.0,0.05,8,2,0.0,0.0,1.0,False
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,serial_recall_v2,similarity_rt_effect,correlation_test,1.0,0.05,16,3,-0.5942122813390157,0.0,0.0079960019990005,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,tiny_alchemy,above_chance_discovery,proportion_test,2.0,0.05,38,3,0.4473684210526316,0.55,0.8085957021489255,False
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,visual_recognition,above_chance_discrimination,paired_proportion_test,2.0,0.05,100,5,0.0,0.0,1.0,False
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,visual_recognition,above_chance_accuracy,proportion_test,1.5,0.05,100,5,0.5,0.5,0.5377311344327836,False
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,0,visual_recognition,low_false_alarm_rate,proportion_test,0.5,0.05,50,4,0.0,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,0,effort_foraging,above_chance_mvt_match,proportion_test,1.5,0.05,45,4,0.6888888888888889,0.5,0.04097951024487756,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,0,effort_foraging,above_chance_total_reward,proportion_test,1.0,0.05,45,4,0.8222222222222222,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,0,effort_foraging,harvest_rt_speedup,correlation_test,1.0,0.05,45,4,0.3063811716866794,0.0,0.9720139930034982,False
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,0,grid_bandit,kraken_avoidance_in_risky,proportion_test,1.5,0.05,50,4,0.1,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,0,grid_bandit,value_directed_exploitation,correlation_test,1.5,0.05,99,5,-0.38619854172928125,0.0,0.0009995002498750624,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,0,grid_bandit,above_chance_reward,proportion_test,1.0,0.05,110,5,0.6818181818181818,0.5,0.010494752623688156,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,0,grid_bandit,within_block_learning,correlation_test,1.0,0.05,110,5,0.04114092792567018,0.0,0.39280359820089955,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,0,grid_bandit,within_block_rt_speedup,correlation_test,1.0,0.05,110,5,-0.10451163934367957,0.0,0.22338830584707647,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,0,marbles_risk,above_chance_ev_optimal,proportion_test,1.5,0.05,5,2,0.2,0.5,0.9795102448775612,False
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,0,moral_machine,species_preference_save_human,proportion_test,1.5,0.05,2,2,0.5,0.5,1.0,False
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,0,phishing_detection_v2,above_chance_discrimination,paired_proportion_test,2.0,0.05,25,3,0.6025641025641026,0.0,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,0,phishing_detection_v2,above_chance_overall,proportion_test,1.0,0.05,25,3,0.8,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,0,phishing_detection_v2,practice_rt_speedup,correlation_test,1.0,0.05,25,3,0.15860497936179666,0.0,0.8390804597701149,False
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,0,random_dot_motion_v2,above_chance_overall,proportion_test,1.0,0.05,7,2,0.5714285714285714,0.5,0.36231884057971014,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,0,serial_recall_v2,above_chance_recall,proportion_test,1.5,0.05,16,3,0.125,0.05,0.051974012993503245,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,0,serial_recall_v2,similarity_aids_recall,correlation_test,1.5,0.05,16,3,0.33806170189140666,0.0,0.0021152829190904283,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,0,serial_recall_v2,high_vs_low_sim_advantage,paired_proportion_test,1.0,0.05,8,2,0.25,0.0,0.24110878661087867,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,0,serial_recall_v2,similarity_rt_effect,correlation_test,1.0,0.05,16,3,-0.2546624062881496,0.0,0.08495752123938032,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,0,tiny_alchemy,above_chance_discovery,proportion_test,2.0,0.05,3,2,1.0,0.55,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,0,visual_recognition,above_chance_accuracy,proportion_test,1.5,0.05,4,2,0.25,0.5,1.0,False
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,0,visual_recognition,low_false_alarm_rate,proportion_test,0.5,0.05,3,2,1.0,0.5,1.0,False
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,effort_foraging,above_chance_mvt_match,proportion_test,1.5,0.05,80,4,0.2625,0.5,0.999000499750125,False
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,effort_foraging,above_chance_total_reward,proportion_test,1.0,0.05,80,4,0.6125,0.5,0.1854072963518241,True
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,effort_foraging,harvest_rt_speedup,correlation_test,1.0,0.05,80,4,0.084094741050333,0.0,0.855072463768116,False
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,grid_bandit,kraken_avoidance_in_risky,proportion_test,1.5,0.05,30,3,0.36666666666666664,0.5,0.12193903048475763,True
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,grid_bandit,value_directed_exploitation,correlation_test,1.5,0.05,49,4,-0.47960699413143354,0.0,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,grid_bandit,above_chance_reward,proportion_test,1.0,0.05,55,4,0.7454545454545455,0.5,0.0009995002498750624,True
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,grid_bandit,within_block_learning,correlation_test,1.0,0.05,55,4,0.19758952255097872,0.0,0.09845077461269365,True
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,grid_bandit,within_block_rt_speedup,correlation_test,1.0,0.05,55,4,0.22014231661551117,0.0,0.9405297351324338,False
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,marbles_risk,ev_sensitivity,correlation_test,2.0,0.05,10,2,0.951771934961173,0.0,0.0005002501250625312,True
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,marbles_risk,above_chance_ev_optimal,proportion_test,1.5,0.05,9,2,1.0,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,marbles_risk,magnitude_effect_high_payoff,correlation_test,1.0,0.05,10,2,0.5726371269248889,0.0,0.0005096839959225281,True
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,marbles_risk,ev_difference_rt_effect,correlation_test,1.0,0.05,10,2,0.5106406566912542,0.0,0.9870064967516242,False
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,moral_machine,utilitarian_preference,proportion_test,1.5,0.05,10,2,1.0,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,moral_machine,age_preference_save_young,proportion_test,1.0,0.05,10,2,0.4,0.5,0.7981009495252374,False
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,moral_machine,species_preference_save_human,proportion_test,1.5,0.05,10,2,0.9,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,moral_machine,legality_preference_save_lawful,proportion_test,1.0,0.05,6,2,0.8333333333333334,0.5,0.05747126436781609,True
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,phishing_detection_v2,above_chance_discrimination,paired_proportion_test,2.0,0.05,60,4,0.7333333333333334,0.0,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,phishing_detection_v2,learning_effect,paired_proportion_test,1.5,0.05,20,3,-0.30000000000000004,0.0,1.0,False
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,phishing_detection_v2,above_chance_overall,proportion_test,1.0,0.05,60,4,0.8666666666666667,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,phishing_detection_v2,practice_rt_speedup,correlation_test,1.0,0.05,60,4,0.11434689401872825,0.0,0.7396301849075462,False
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,random_dot_motion_v2,above_chance_overall,proportion_test,1.0,0.05,7,2,0.5714285714285714,0.5,0.09245377311344327,True
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,repeated_games,above_chance_coordination_bos,proportion_test,1.5,0.05,15,2,0.4666666666666667,0.5,0.8705647176411794,False
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,0,repeated_games,round_rt_speedup,correlation_test,1.0,0.05,30,3,-0.49114274723005125,0.0,0.015992003998001,True
panel,rebuttal_v1_launch_20260724_211936,qwen3-vl-235b-instruct,0,grid_bandit,kraken_avoidance_in_risky,proportion_test,1.5,0.05,10,2,1.0,0.5,1.0,False
panel,rebuttal_v1_launch_20260724_211936,qwen3-vl-235b-instruct,0,grid_bandit,value_directed_exploitation,correlation_test,1.5,0.05,18,3,0.0681798617170713,0.0,0.6549520766773163,False
panel,rebuttal_v1_launch_20260724_211936,qwen3-vl-235b-instruct,0,grid_bandit,above_chance_reward,proportion_test,1.0,0.05,20,3,0.0,0.5,1.0,False
panel,rebuttal_v1_launch_20260724_211936,qwen3-vl-235b-instruct,0,grid_bandit,within_block_learning,correlation_test,1.0,0.05,20,3,0.06276727386553368,0.0,0.25987006496751625,True
panel,rebuttal_v1_launch_20260724_211936,qwen3-vl-235b-instruct,0,grid_bandit,within_block_rt_speedup,correlation_test,1.0,0.05,20,3,0.10868001908441428,0.0,0.8235882058970515,False
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,effort_foraging,above_chance_mvt_match,proportion_test,1.5,0.05,80,4,0.375,0.5,0.9240379810094953,False
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,effort_foraging,above_chance_total_reward,proportion_test,1.0,0.05,80,4,0.6375,0.5,0.062468765617191405,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,effort_foraging,harvest_rt_speedup,correlation_test,1.0,0.05,80,4,0.17477340021029716,0.0,0.9930034982508745,False
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,grid_bandit,kraken_avoidance_in_risky,proportion_test,1.5,0.05,50,4,0.14,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,grid_bandit,value_directed_exploitation,correlation_test,1.5,0.05,99,5,-0.0790504242852807,0.0,0.19290354822588707,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,grid_bandit,above_chance_reward,proportion_test,1.0,0.05,110,5,0.7909090909090909,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,grid_bandit,within_block_learning,correlation_test,1.0,0.05,110,5,0.3244143397341317,0.0,0.004497751124437781,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,grid_bandit,within_block_rt_speedup,correlation_test,1.0,0.05,110,5,0.4399257226927323,0.0,1.0,False
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,marbles_risk,ev_sensitivity,correlation_test,2.0,0.05,64,4,0.5796078874392718,0.0,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,marbles_risk,above_chance_ev_optimal,proportion_test,1.5,0.05,60,4,1.0,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,marbles_risk,magnitude_effect_high_payoff,correlation_test,1.0,0.05,64,4,0.5037589232191658,0.0,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,marbles_risk,ev_difference_rt_effect,correlation_test,1.0,0.05,64,4,0.18294027600513804,0.0,0.9700149925037481,False
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,moral_machine,utilitarian_preference,proportion_test,1.5,0.05,10,2,1.0,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,moral_machine,age_preference_save_young,proportion_test,1.0,0.05,10,2,1.0,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,moral_machine,species_preference_save_human,proportion_test,1.5,0.05,10,2,1.0,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,moral_machine,legality_preference_save_lawful,proportion_test,1.0,0.05,6,2,1.0,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,phishing_detection_v2,above_chance_discrimination,paired_proportion_test,2.0,0.05,60,4,0.5666666666666667,0.0,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,phishing_detection_v2,learning_effect,paired_proportion_test,1.5,0.05,20,3,0.10000000000000009,0.0,0.4454499748617396,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,phishing_detection_v2,above_chance_overall,proportion_test,1.0,0.05,60,4,0.7833333333333333,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,phishing_detection_v2,practice_rt_speedup,correlation_test,1.0,0.05,60,4,-0.17253748688674758,0.0,0.136431784107946,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,random_dot_motion_v2,coherence_accuracy_psychometric,correlation_test,2.0,0.05,41,3,0.2674660471129173,0.0,0.01699150424787606,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,random_dot_motion_v2,coherence_rt_chronometric,correlation_test,1.5,0.05,27,3,-0.08218800677103756,0.0,0.3633183408295852,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,random_dot_motion_v2,above_chance_low_coherence,proportion_test,0.5,0.05,15,2,0.5333333333333333,0.5,0.3798100949525237,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,random_dot_motion_v2,above_chance_overall,proportion_test,1.0,0.05,41,3,0.6585365853658537,0.5,0.00849575212393803,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,repeated_games,above_chance_coordination_bos,proportion_test,1.5,0.05,15,2,0.13333333333333333,0.5,1.0,False
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,repeated_games,round_rt_speedup,correlation_test,1.0,0.05,30,3,-0.2460170566887371,0.0,0.24387806096951525,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,serial_recall_v2,above_chance_recall,proportion_test,1.5,0.05,16,3,0.6875,0.05,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,serial_recall_v2,similarity_aids_recall,correlation_test,1.5,0.05,16,3,0.5427204202399745,0.0,0.001,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,serial_recall_v2,high_vs_low_sim_advantage,paired_proportion_test,1.0,0.05,8,2,0.75,0.0,0.028514257128564282,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,serial_recall_v2,similarity_rt_effect,correlation_test,1.0,0.05,16,3,-0.2546624062881496,0.0,0.17541229385307347,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,tiny_alchemy,above_chance_discovery,proportion_test,2.0,0.05,79,4,0.3037974683544304,0.55,1.0,False
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,visual_recognition,above_chance_discrimination,paired_proportion_test,2.0,0.05,100,5,0.02,0.0,0.3568215892053973,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,visual_recognition,above_chance_accuracy,proportion_test,1.5,0.05,100,5,0.51,0.5,0.496751624187906,True
panel,rebuttal_v1_launch_20260724_211936,gemini-3-flash-preview,1,visual_recognition,low_false_alarm_rate,proportion_test,0.5,0.05,50,4,0.0,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,effort_foraging,above_chance_mvt_match,proportion_test,1.5,0.05,80,4,0.025,0.5,1.0,False
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,effort_foraging,above_chance_total_reward,proportion_test,1.0,0.05,80,4,0.225,0.5,0.9995002498750625,False
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,effort_foraging,harvest_rt_speedup,correlation_test,1.0,0.05,80,4,-0.050785762087666976,0.0,0.32983508245877063,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,grid_bandit,kraken_avoidance_in_risky,proportion_test,1.5,0.05,50,4,0.24,0.5,0.005497251374312844,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,grid_bandit,value_directed_exploitation,correlation_test,1.5,0.05,99,5,-0.16920937994022847,0.0,0.00849575212393803,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,grid_bandit,above_chance_reward,proportion_test,1.0,0.05,110,5,0.6545454545454545,0.5,0.025987006496751622,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,grid_bandit,within_block_learning,correlation_test,1.0,0.05,110,5,0.17791125588799395,0.0,0.11944027986006997,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,grid_bandit,within_block_rt_speedup,correlation_test,1.0,0.05,110,5,-0.07839618916910251,0.0,0.15892053973013492,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,marbles_risk,above_chance_ev_optimal,proportion_test,1.5,0.05,8,2,0.625,0.5,0.19490254872563717,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,moral_machine,utilitarian_preference,proportion_test,1.5,0.05,11,2,1.0,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,moral_machine,age_preference_save_young,proportion_test,1.0,0.05,6,2,0.6666666666666666,0.5,0.2223888055972014,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,moral_machine,species_preference_save_human,proportion_test,1.5,0.05,11,2,0.2727272727272727,0.5,0.9180409795102449,False
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,moral_machine,legality_preference_save_lawful,proportion_test,1.0,0.05,6,2,0.3333333333333333,0.5,1.0,False
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,phishing_detection_v2,above_chance_discrimination,paired_proportion_test,2.0,0.05,24,3,0.6363636363636364,0.0,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,phishing_detection_v2,above_chance_overall,proportion_test,1.0,0.05,24,3,0.8333333333333334,0.5,0.0004997501249375312,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,phishing_detection_v2,practice_rt_speedup,correlation_test,1.0,0.05,24,3,0.540306293180055,0.0,0.9875062468765617,False
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,random_dot_motion_v2,coherence_accuracy_psychometric,correlation_test,2.0,0.05,33,3,-0.16389549045550234,0.0,0.9580209895052474,False
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,random_dot_motion_v2,coherence_rt_chronometric,correlation_test,1.5,0.05,20,3,-0.01688773957611457,0.0,0.30134932533733133,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,random_dot_motion_v2,above_chance_low_coherence,proportion_test,0.5,0.05,11,2,0.6363636363636364,0.5,0.01999000499750125,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,random_dot_motion_v2,above_chance_overall,proportion_test,1.0,0.05,33,3,0.6060606060606061,0.5,0.05997001499250375,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,repeated_games,above_chance_coordination_bos,proportion_test,1.5,0.05,15,2,0.4666666666666667,0.5,0.8620689655172413,False
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,repeated_games,round_rt_speedup,correlation_test,1.0,0.05,30,3,-0.5571038421393503,0.0,0.0024987506246876563,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,serial_recall_v2,above_chance_recall,proportion_test,1.5,0.05,16,3,0.0,0.05,1.0,False
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,serial_recall_v2,high_vs_low_sim_advantage,paired_proportion_test,1.0,0.05,8,2,0.0,0.0,1.0,False
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,serial_recall_v2,similarity_rt_effect,correlation_test,1.0,0.05,16,3,-0.19402850002906638,0.0,0.2958520739630185,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,visual_recognition,above_chance_accuracy,proportion_test,1.5,0.05,5,2,0.6,0.5,0.5037481259370314,True
panel,rebuttal_v1_launch_20260724_211936,gpt-5.4-nano,1,visual_recognition,low_false_alarm_rate,proportion_test,0.5,0.05,3,2,0.6666666666666666,0.5,1.0,False
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,1,effort_foraging,above_chance_mvt_match,proportion_test,1.5,0.05,80,4,0.025,0.5,1.0,False
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,1,effort_foraging,above_chance_total_reward,proportion_test,1.0,0.05,80,4,0.2125,0.5,1.0,False
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,1,effort_foraging,harvest_rt_speedup,correlation_test,1.0,0.05,80,4,0.2557107670028144,0.0,0.9920039980009995,False
panel,rebuttal_v1_launch_20260724_211936,kimi-k2.5,1,marbles_risk,ev_sensitivity,correlation_test,2.0,0.05,17,3,0.4919909792511709,0.0,0.000502008032128514,True
